TICKER,CNAME,PERMNO,IssuerNm,SCORE
CEXX,CIRCLE EXPRESS,86642,CIRCLE EXPRESS INC,0
CEY,FIDELITY NTL INF,89003,FIDELITY NATIONAL INFO SVCS INC,0
CF,WRLDWDE RSTRT,56354,WORLDWIDE RESTAURANT CNCPTS INC,1
CFA,COMPUTER FACTORY,65189,COMPUTER FACTORY INC,0
CFAC,CENT FINL ACCEPT,83635,CENTRAL FINANCIAL ACCEPTANCE COR,1
CFAM,CORPORATE FAMILY,85276,CORPORATEFAMILY SOLUTIONS INC,0
CFB,CITIZENS 1ST NJ,60601,CITIZENS FIRST BANCORP,0
CFBC,COMM FIRST BKING,85169,COMMUNITY FIRST BANKING CO,1
CFBI,CULLEN FROST BKS,27888,CULLEN FROST BANKERS INC,0
CFBK,UNIONBANCAL CORP,20694,UNIONBANCAL CORP,0
CFBN,CFB BANCORP INC,79372,C F B BANCORP INC,0
CFBS,CENT FID BKS VA,22075,CENTRAL FIDELITY BANKS INC,3
CFBX,CMNTY 1ST BCSH,76789,COMMUNITY FIRST BANKSHARES INC,1
CFCC,CARTERET BANCORP,21689,CARTERET BANCORP DE,0
CFCI,CFC INTL,82558,C F C INTERNATIONAL INC,1
CFCN,COML FED CP NEB,86861,COMMERCIAL FEDERAL CORP,1
CFD,BROOKFIELD HIF,86221,BROOKFIELD HIGH INCOME FUND INC,0
CFDY,CITIZENS FID,23756,CITIZENS FIDELITY CORP,0
CFE1,CHARTER FSB BANC,11991,CHARTER FSB BANCORP INC,0
CFER,CONFERTECH INTL,10965,CONFERTECH INTERNATIONAL INC,0
CFF,CF INDS,90829,C F INDUSTRIES HOLDINGS INC,1
CFFC,CITIZENS 1ST FIN,83444,CITIZENS FIRST FINANCIAL CORP,0
CFFI,C&F FINANCIAL,85725,C & F FINANCIAL CORP,0
CFFN,CAPITOL FEDERAL,86820,CAPITOL FEDERAL FINANCIAL INC,0
CFFS,COLUM 1ST FED,86773,COLUMBIA FIRST FED SVGS & LN WA,1
CFG,CITIZNS FNCL,14889,CITIZENS FINANCIAL GROUP INC,1
CFHL,COAST FINANCIAL,89906,COAST FINANCIAL HLDGS INC,0
CFI,CF INCOME PRTNRS,70439,C F INCOME PARTNERS L P,2
CFIC,CMNTY FINL CP/IL,81688,COMMUNITY FINANCIAL CORP ILL,1
CFIN,CONSUMERS FINL,26682,CONSUMERS FINANCIAL CORP,0
CFIP,CF & I STEEL CP,86239,C F & I STEEL CORP,0
CFIX,CHEMFIX TECH,23027,CHEMFIX TECHNOLOGIES INC,0
CFK,COMFED BANCORP,65891,COMFED SAVINGS BANK LOWELL MA,1
CFKY,COLUMBIA FINL.,85968,COLUMBIA FINANCIAL OF KY INC,0
CFL,BRINKS HOME SEC,92801,BRINKS HOME SECURITY HLDDGS INC,0
CFLO,CARDIOMETRICS,82559,CARDIOMETRICS INC,0
CFLT,CONFLUENT,21358,CONFLUENT INC,0
CFLW,BLUE COAT SYSTEM,87377,BLUE COAT SYSTEMS INC,0
CFLX,CURAFLEX HEALTH,77419,CURAFLEX HEALTH SERVICES INC,0
CFMI,CONVENIENT FOOD,27028,CONVENIENT FOOD MART INC,0
CFMS,CONFORMIS,15496,CONFORMIS INC,0
CFMT,CFM TECHNOLOGIES,83637,C F M TECHNOLOGIES INC,0
CFN,CONTIFINANCIAL,82791,CONTIFINANCIAL CORP,0
CFNC,CAROLINA FINCORP,84199,CAROLINA FINCORP INC,0
CFNE,CIRCLE FINE ART,23545,CIRCLE FINE ART CORP,0
CFNH,CFX CORP,11120,C F X CORP,0
CFNL,CARDINAL FNL,86250,CARDINAL FINANCIAL CORP,0
CFNV,CENTRAFARM GROUP,78545,CENTRAFARM GROUP N V,0
